Date,Location,Suspected_Target,People_Killed,Min_Civilians,Max_Civilians,Latitude,Longitude,Country,Source
2015-01-03,"Spera, Khost, Afghanistan",0,7,0,0,32.8078448,68.6456967,Afghanistan ,Real
2015-01-06,"Dara I Pech, Kunar, Afghanistan",0,0,0,0,34.872898,71.155620,Afghanistan ,Real
2015-01-07,"Logar, Afghanistan",0,3,0,0,34.014551,69.192391,Afghanistan ,Real
2015-01-08,"Chikanawr, Lal Pura, Nangarhar, Afghanistan",3,6,0,0,34.354216,70.954680,Afghanistan ,Real
2015-01-11,"Chikanawr, Lal Pura, Nangarhar, Afghanistan",3,8,0,0,34.354216,70.954680,Afghanistan ,Real
2015-01-16,"Nazyan, Nangarhar, Afghanistan",0,3,0,0,34.118171,70.752529,Afghanistan ,Real
2015-01-17,"Lal Pura, Nangarhar, Afghanistan",0,0,0,0,34.354216,70.954680,Afghanistan ,Real
2015-01-19,"Khugyani, Nangarhar, Afghanistan",0,0,0,0,34.229212,70.193208,Afghanistan ,Real
2015-02-08,"Azankarez, Kajak, Helmand, Afghanistan",0,6,0,0,32.339473,65.143251,Afghanistan ,Real
2015-02-10,"Khas Kunar, Kunar, Afghanistan",0,2,0,0,34.643368,71.026004,Afghanistan ,Real
2015-02-11,"Nazyan, Nangarhar, Afghanistan",0,2,0,0,34.118171,70.752529,Afghanistan ,Real
2015-02-18,"Fathi Khani, Khogyani, Nangarhar, Afghanistan",0,8,0,0,34.229212,70.193208,Afghanistan ,Real
2015-02-03,"Alishir, Khost, Afghanistan",0,1,0,1,33.394839,70.044359,Afghanistan ,Real
2015-03-10,"Mamond, Achin, Nangarhar, Afghanistan",0,6,0,0,34.215777,71.026004,Afghanistan ,Real
2015-03-11,"Sarakani, Kunar, Afghanistan",0,0,0,0,34.801712,71.216142,Afghanistan ,Real
2015-03-13,"Lal Pura, Nangarhar, Afghanistan",0,0,0,0,34.354216,70.954680,Afghanistan ,Real
2015-03-18,"Chinar Khor, Kunar, Afghanistan",1,0,0,0,34.846589,71.097316,Afghanistan ,Real
2015-03-23,"Nazyan, Nangarhar, Afghanistan",0,9,0,0,34.118171,70.752529,Afghanistan ,Real
2015-03-24,"Kunar, Afghanistan",0,11,0,0,34.846589,71.097316,Afghanistan ,Real
2015-03-25,"Sia Gird, Parwan, Afghanistan",0,0,0,0,34.963097,68.810884,Afghanistan ,Real
2015-03-26,"Zurmat, Paktia, Afghanistan",1,0,0,0,33.435888,69.031453,Afghanistan ,Real
2015-04-12,"Dara I Pech, Kunar, Afghanistan",0,3,0,0,34.872898,71.155620,Afghanistan ,Real
2015-04-28,"Degal, Chapa Darre, Kunar, Afghanistan",0,3,0,0,34.846589,71.097316,Afghanistan ,Real
2015-05-03,"Mohmand Dara, Nangarhar, Afghanistan",0,12,0,0,34.215777,71.026004,Afghanistan ,Real
2015-05-04,"Dabili, Landi Basawal area, Mohmand Dara, Nangarhar, Afghanistan",0,17,0,0,34.215777,71.026004,Afghanistan ,Real
2015-05-07,"Khas Khar, Kunar, Afghanistan",0,6,0,1,34.643368,71.026004,Afghanistan ,Real
2015-05-07,"Goshti, Nangarhar, Afghanistan",0,4,0,0,34.171831,70.621679,Afghanistan ,Real
2015-05-09,"Machi Megi, Lal Pura, Nangarhar, Afghanistan",0,13,0,0,34.354216,70.954680,Afghanistan ,Real
2015-05-14,"Bati Kot, Nangarhar, Afghanistan",1,4,0,0,34.263148,70.788209,Afghanistan ,Real
2015-05-15,"Various: Chahardahi in Bati Kot, Bandar Darah in Dur Baba, Murdai in Achin, Various: Nazyan, Bati Kot, Bandar Darah, Dur Baba, Achin, Nangarhar, Afghanistan",0,5,0,0,34.263148,70.788209,Afghanistan ,Real
2015-05-21,"Katar village, Watapor, Kunar, Afghanistan",0,4,0,0,34.910930,71.127398,Afghanistan ,Real
2015-05-27,"Want Waigal, Nuristan, Afghanistan",0,5,0,0,35.050080,70.908540,Afghanistan ,Real
2015-05-28,"Watapor, Kunar, Afghanistan",0,1,0,0,34.910930,71.127398,Afghanistan ,Real
2015-05-31,"Baraki Barak, Logar, Afghanistan",0,2,0,3,33.969092,68.950978,Afghanistan ,Real
2015-06-03,"Shogam area, Shigal, Kunar, Afghanistan",0,3,0,0,35.118055,71.228333,Afghanistan ,Real
2015-06-04,"Achin, Nangarhar, Afghanistan",0,1,0,0,34.08218,70.667034,Afghanistan ,Real
2015-06-04,"Chapahar, Nangarhar, Afghanistan",0,6,0,1,34.328976,70.407486,Afghanistan ,Real
2015-06-04,"Chapahar, Nangarhar, Afghanistan",0,11,0,0,34.328976,70.407486,Afghanistan ,Real
2015-06-05,"Ali Shir, Tere Zayi, Khost, Afghanistan",0,14,14,14,33.388710,70.169394,Afghanistan ,Real
2015-06-07,"Chapa Dara, Kunar, Afghanistan",0,1,0,0,34.920175,70.764423,Afghanistan ,Real
2015-06-08,"Samso, Lal Pura, Nangarhar, Afghanistan",0,7,0,5,34.354216,70.954680,Afghanistan ,Real
2015-06-08,"Lal Pura, Nangarhar, Afghanistan",0,3,0,0,34.354216,70.954680,Afghanistan ,Real
2015-06-11,"Maroufkhil, Khushamand, Paktika, Afghanistan",0,30,0,0,32.264538,68.524714,Afghanistan ,Real
2015-06-11,"Jarkani, Yousufkhil, Paktika, Afghanistan",0,2,0,0,32.264538,68.524714,Afghanistan ,Real
2015-06-14,"Dangam, Kunar, Afghanistan",0,7,0,5,35.002193,71.406187,Afghanistan ,Real
2015-06-15,"Chak e Wardak, Wardak, Afghanistan",0,2,2,2,34.031203,68.572411,Afghanistan ,Real
2015-06-18,"Chazi Abad, Kunar, Afghanistan",0,0,0,0,34.70000,70.75000,Afghanistan ,Real
2015-06-19,"Mohmand Dara, Nangarhar, Afghanistan",0,8,0,0,34.215777,71.026004,Afghanistan ,Real
2015-06-19,"Kamar Kandaw, Haska Meena, Nangarhar, Afghanistan",0,4,0,0,34.468888,70.889722,Afghanistan ,Real
2015-06-20,"Kanish, Nuristan, Afghanistan",0,4,0,0,35.325022,70.907123,Afghanistan ,Real
2015-06-21,"Barikaab Dab, Bati Kot, Nangarhar, Afghanistan",0,6,0,0,34.263148,70.788209,Afghanistan ,Real
2015-06-26,"Nuristan, Afghanistan",0,6,0,0,35.325022,70.907123,Afghanistan ,Real
2015-06-27,"Paktika, Afghanistan",0,1,0,0,32.264538,68.524714,Afghanistan ,Real
2015-06-27,"Mardish, Want Waigal, Nuristan, Afghanistan",3,5,0,0,35.221191,71.049776,Afghanistan ,Real
2015-06-30,"Machi Megi, Lal Pura, Nangarhar, Afghanistan",12,4,0,0,34.354216,70.954680,Afghanistan ,Real
2015-07-04,"Ghanikhel, Nangarhar, Afghanistan",0,12,0,0,34.516667,70.149999,Afghanistan ,Real
2015-07-04,"Chappa Dara, Kunar, Afghanistan",0,1,0,0,34.920175,70.764423,Afghanistan ,Real
2015-07-04,"Dara I Pech, Nangarhar, Afghanistan",0,0,0,0,34.872898,71.155620,Afghanistan ,Real
2015-07-05,"Chaparhar, Nangarhar, Afghanistan",0,3,0,0,34.328976,70.407486,Afghanistan ,Real
2015-07-06,"Achin, Nangarhar, Afghanistan",0,12,0,0,34.08218,70.667034,Afghanistan ,Real
2015-07-06,"Achin, Nangarhar, Afghanistan",0,13,0,0,34.08218,70.667034,Afghanistan ,Real
2015-07-07,"Achin, Nangarhar, Afghanistan",0,11,0,0,34.08218,70.667034,Afghanistan ,Real
2015-07-07,"Achin, Nangarhar, Afghanistan",0,18,0,0,34.08218,70.667034,Afghanistan ,Real
2015-07-07,"Haska Meena, Nangarhar, Afghanistan",0,25,0,0,34.092630,70.469224,Afghanistan ,Real
2015-07-07,"Bati Kot, Nangarhar, Afghanistan",2,4,0,0,34.263148,70.788209,Afghanistan ,Real
2015-07-08,"Tangi, Dih Bala, Nangarhar, Afghanistan",0,25,0,0,34.092630,70.469224,Afghanistan ,Real
2015-07-10,"Achin, Nangarhar, Afghanistan",0,30,0,0,34.08218,70.667034,Afghanistan ,Real
2015-07-11,"Bermal, Paktika, Afghanistan",0,3,0,0,32.746111,69.297777,Afghanistan ,Real
2015-07-12,"Maidnak and Chehal Gazi, Achin, Nangarhar, Afghanistan",0,12,0,0,34.08218,70.667034,Afghanistan ,Real
2015-07-14,"Haska Mina, Nangarhar, Afghanistan",0,28,0,0,34.092630,70.469224,Afghanistan ,Real
2015-07-16,"Tor Khail, Wardak, Afghanistan",0,8,0,0,34.351349,68.238533,Afghanistan ,Real
2015-07-16,"Haska Mina, Nangarhar, Afghanistan",0,6,0,0,34.092630,70.469224,Afghanistan ,Real
2015-07-20,"Cheltan, Baraki Barak, Logar, Afghanistan",5,7,0,0,33.969092,68.950978,Afghanistan ,Real
2015-07-26,"Chaknawr, Lal Pura, Nangarhar, Afghanistan",0,5,0,0,34.354216,70.954680,Afghanistan ,Real
2015-07-29,"Harun Baba, Haska Mina and Pachiragam, Nangarhar, Afghanistan",0,12,0,0,34.092630,70.469224,Afghanistan ,Real
2015-08-02,"Cholzi, Baraki Barak, Logar, Afghanistan",0,4,0,0,33.969092,68.950978,Afghanistan ,Real
